link,name
/wiki/House_Arryn,House Arryn
/wiki/House_Frey,House Frey
/wiki/House_Greyjoy,House Greyjoy
/wiki/House_Lannister,House Lannister
/wiki/House_Stark,House Stark
/wiki/House_Targaryen,House Targaryen
/wiki/House_Tyrell,House Tyrell
/wiki/House_Tully,House Tully
/wiki/House_Durrandon,House Durrandon
/wiki/House_Gardener,House Gardener
/wiki/House_Hoare,House Hoare
/wiki/House_Baratheon,House Baratheon
/wiki/House_Baratheon_of_Dragonstone,House Baratheon of Dragonstone
/wiki/House_Baratheon_of_King%27s_Landing,House Baratheon of King's Landing
/wiki/House_Baratheon_of_Dragonstone,House Baratheon of Dragonstone
/wiki/House_Baratheon_of_King%27s_Landing,House Baratheon of King's Landing
/wiki/House_Martell,House Martell
/wiki/House_Bolton,House Bolton
