episodeId,season,episode,title
1,1,1,Winter Is Coming
2,1,2,The Kingsroad
3,1,3,Lord Snow
4,1,4,"Cripples, Bastards, and Broken Things"
5,1,5,The Wolf and the Lion
6,1,6,A Golden Crown
7,1,7,You Win or You Die
8,1,8,The Pointy End
9,1,9,Baelor
10,1,10,Fire and Blood
11,2,1,The North Remembers
12,2,2,The Night Lands
13,2,3,What Is Dead May Never Die
14,2,4,Garden of Bones
15,2,5,The Ghost of Harrenhal
16,2,6,The Old Gods and the New
17,2,7,A Man Without Honor
18,2,8,The Prince of Winterfell
19,2,9,Blackwater
20,2,10,Valar Morghulis
21,3,1,Valar Dohaeris
22,3,2,"Dark Wings, Dark Words"
23,3,3,Walk of Punishment
24,3,4,And Now His Watch Is Ended
25,3,5,Kissed by Fire
26,3,6,The Climb
27,3,7,The Bear and the Maiden Fair
28,3,8,Second Sons
29,3,9,The Rains of Castamere
30,3,10,Mhysa
31,4,1,Two Swords
32,4,2,The Lion and the Rose
33,4,3,Breaker of Chains
34,4,4,Oathkeeper
35,4,5,First of His Name
36,4,6,The Laws of Gods and Men
37,4,7,Mockingbird
38,4,8,The Mountain and the Viper
39,4,9,The Watchers on the Wall
40,4,10,The Children
41,5,1,The Wars to Come
42,5,2,The House of Black and White
43,5,3,High Sparrow
44,5,4,Sons of the Harpy
45,5,5,Kill the Boy
46,5,6,"Unbowed, Unbent, Unbroken"
47,5,7,The Gift
48,5,8,Hardhome
49,5,9,The Dance of Dragons
50,5,10,Mother's Mercy
51,6,1,The Red Woman
52,6,2,Home
53,6,3,Oathbreaker
54,6,4,Book of the Stranger
55,6,5,The Door
56,6,6,Blood of My Blood
57,6,7,The Broken Man
58,6,8,No One
59,6,9,Battle of the Bastards
60,6,10,The Winds of Winter
