episodeNumber,link
1,http://gameofthrones.wikia.com/wiki/Winter_is_Coming_(episode)
2,http://gameofthrones.wikia.com/wiki/The_Kingsroad
3,http://gameofthrones.wikia.com/wiki/Lord_Snow
4,"http://gameofthrones.wikia.com/wiki/Cripples,_Bastards_and_Broken_Things"
5,http://gameofthrones.wikia.com/wiki/The_Wolf_and_the_Lion
6,http://gameofthrones.wikia.com/wiki/A_Golden_Crown
7,http://gameofthrones.wikia.com/wiki/You_Win_or_You_Die
8,http://gameofthrones.wikia.com/wiki/The_Pointy_End
9,http://gameofthrones.wikia.com/wiki/Baelor
10,http://gameofthrones.wikia.com/wiki/Fire_and_Blood
11,http://gameofthrones.wikia.com/wiki/The_North_Remembers
12,http://gameofthrones.wikia.com/wiki/The_Night_Lands
13,http://gameofthrones.wikia.com/wiki/What_is_Dead_May_Never_Die
14,http://gameofthrones.wikia.com/wiki/Garden_of_Bones
15,http://gameofthrones.wikia.com/wiki/The_Ghost_of_Harrenhal
16,http://gameofthrones.wikia.com/wiki/The_Old_Gods_and_the_New
17,http://gameofthrones.wikia.com/wiki/A_Man_Without_Honor
18,http://gameofthrones.wikia.com/wiki/The_Prince_of_Winterfell
19,http://gameofthrones.wikia.com/wiki/Blackwater
20,http://gameofthrones.wikia.com/wiki/Valar_Morghulis
21,http://gameofthrones.wikia.com/wiki/Valar_Dohaeris
22,"http://gameofthrones.wikia.com/wiki/Dark_Wings,_Dark_Words"
23,http://gameofthrones.wikia.com/wiki/Walk_of_Punishment
24,http://gameofthrones.wikia.com/wiki/And_Now_His_Watch_is_Ended
25,http://gameofthrones.wikia.com/wiki/Kissed_by_Fire
26,http://gameofthrones.wikia.com/wiki/The_Climb
27,http://gameofthrones.wikia.com/wiki/The_Bear_and_the_Maiden_Fair_(episode)
28,http://gameofthrones.wikia.com/wiki/Second_Sons_(episode)
29,http://gameofthrones.wikia.com/wiki/The_Rains_of_Castamere_(episode)
30,http://gameofthrones.wikia.com/wiki/Mhysa
31,http://gameofthrones.wikia.com/wiki/Two_Swords
32,http://gameofthrones.wikia.com/wiki/The_Lion_and_the_Rose
33,http://gameofthrones.wikia.com/wiki/Breaker_of_Chains
34,http://gameofthrones.wikia.com/wiki/Oathkeeper
35,http://gameofthrones.wikia.com/wiki/First_of_His_Name
36,http://gameofthrones.wikia.com/wiki/The_Laws_of_Gods_and_Men
37,http://gameofthrones.wikia.com/wiki/Mockingbird
38,http://gameofthrones.wikia.com/wiki/The_Mountain_and_the_Viper
39,http://gameofthrones.wikia.com/wiki/The_Watchers_on_the_Wall
40,http://gameofthrones.wikia.com/wiki/The_Children
41,http://gameofthrones.wikia.com/wiki/The_Wars_to_Come
42,http://gameofthrones.wikia.com/wiki/The_House_of_Black_and_White
43,http://gameofthrones.wikia.com/wiki/High_Sparrow_(episode)
44,http://gameofthrones.wikia.com/wiki/Sons_of_the_Harpy_(episode)
45,http://gameofthrones.wikia.com/wiki/Kill_the_Boy
46,"http://gameofthrones.wikia.com/wiki/Unbowed,_Unbent,_Unbroken"
47,http://gameofthrones.wikia.com/wiki/The_Gift_(episode)
48,http://gameofthrones.wikia.com/wiki/Hardhome_(episode)
49,http://gameofthrones.wikia.com/wiki/The_Dance_of_Dragons
50,http://gameofthrones.wikia.com/wiki/Mother%27s_Mercy
51,http://gameofthrones.wikia.com/wiki/The_Red_Woman
52,http://gameofthrones.wikia.com/wiki/Home
53,http://gameofthrones.wikia.com/wiki/Oathbreaker
54,http://gameofthrones.wikia.com/wiki/Book_of_the_Stranger
55,http://gameofthrones.wikia.com/wiki/The_Door
